TN ,Chlorophyla ,TDI,TTC,Toxicity
0.57,0.62,0.42,0,low
0.18,5.91,1.05,0.01,low
0.21,5.33,0.39,0.02,low
1.07,6.71,1,0.67,middle
0.36,2.59,1.07,0.18,middle
1.43,1.13,0,0,low
0.66,2.66,0.62,0.02,low
0.54,4.17,0.65,0.01,low
1.38,11.18,1.18,0.24,middle
0.6,7.6,0.86,1.55,high
1.23,0.72,1.02,0.04,low
2.57,2.51,1.26,0.15,middle
0.83,17.05,0.84,0.07,low
0.41,54.5,0.11,0.09,low
1.5,23.2,1.19,0.3,middle
0.8,69.38,0.58,0.02,low
1.03,46.07,0.49,0.02,low
0.41,55.67,0.24,0.03,low
1.18,37.36,1.02,0.09,low
0.86,2.08,0.7,0.01,low
0.33,19.59,0,0.04,low
0.7,67.46,1.05,0.35,middle
0.64,1.53,0.91,0.09,low
0.32,2.7,0.81,0.02,low
0.13,3.31,0.9,0.07,low
0.32,34.29,0.99,0.57,middle
1.01,2.02,0.24,0.03,low
0.32,1.95,1.21,0.73,middle
0.09,61.24,1.23,0.34,middle
0.51,16.44,1.25,0.06,low
0.72,27.69,0.06,0,low
0.2,32.32,1.22,1.33,high
0.56,112.61,1.44,0.34,middle
0.64,3.34,1.07,0.12,middle
0.77,52.26,1.13,0.42,middle
0.33,39.3,1.08,2.46,high
0.92,6.64,0.86,0.03,low
0.63,67.63,0.84,0.17,middle
0.81,6.42,0.24,3.89,high
0.33,49.62,1.18,3.32,high
3.5,2.91,0.84,0.02,low
4.57,1.79,0,0.01,low
4.1,103.45,0.43,0.15,middle
2.12,9.63,0,0,low
1.22,58.93,1.14,0.74,middle
0.21,13.59,0,1.81,high
0.8,5.25,1.07,0.03,low
0.22,2.93,0.14,0.08,low
0.33,60.35,1.01,0.61,middle
0.77,25.04,1.14,0.09,low
1.45,9.09,0.96,0.4,middle
0.3,9.54,1.06,2.02,high
0.07,7.52,0,0.02,low
0.73,1.01,0,0,low
0.28,1.4,0.84,0.04,low
1.27,81.65,0.94,0.36,middle
0.72,102.29,1.25,1.06,high
1.05,36.87,0.28,3.03,high
0.81,103.9,1.14,2.34,high
0.67,112.7,1.17,1.45,high
1.11,35.01,0.61,6.01,high
0.42,92.96,0.73,0.07,low
0.72,132.1,1.04,2.52,high
0.62,53.62,0.97,4.86,high
1.56,207.18,1.09,13.45,high
2.8,10.35,0.81,2.69,high
2.16,690.16,1.14,3.98,high
2.83,248.58,0.82,12.58,high
0.73,71.63,0.71,0.03,low
0.34,7.51,0.9,0.01,low
0.34,56.35,0.95,0.13,middle
1.02,17.53,0.71,0.87,middle
0.55,25.82,1.06,6.3,high
1.56,5.55,0.24,0.07,low
0.85,6.13,0.53,0.01,low
0.43,11.94,1.04,0.49,middle
0.96,3.18,1.05,0.01,low
0.55,13.31,1.09,0.2,middle
0.58,27.85,1.04,0.67,middle
2.14,119.59,0.67,2.56,high
0.26,31.74,0,0.01,low
0.26,5.46,1.29,0.11,middle
1.68,12.4,1.27,0.09,low
0.75,49.46,0.57,0.01,low
4.35,30.1,1.41,0.33,middle
0.47,3.49,0.56,0.3,middle
1.47,32.25,0,0,low
2.24,5.48,1.21,0.9,middle
0.75,6.54,1.2,0.85,middle
0.51,77.28,0.86,8.74,high
0.38,5.47,0,0.01,low
0.56,4.96,0.79,0.04,low
0.78,24.24,0.88,1.54,high
0.67,32.49,1.14,5.28,high
0.88,26.03,0.79,0.21,middle
0.37,5.67,0.97,0.29,middle
1.32,34.28,1.02,2.48,high
0.66,5.22,0,0,low
2.22,99.44,0.99,7.51,high
0.57,15.02,0.11,0.12,middle
0.38,75.04,1.01,0.28,middle
0.73,13.27,1.16,0.5,middle
1.17,30.25,0.85,2.63,high
0.98,61.52,0.61,0.01,low
1.91,312.22,0.49,17.19,high
0.74,57.4,1.06,6.25,high
0.79,92.37,1.2,0.13,middle
2.08,27.27,0.83,0.22,middle
1.73,50.48,1.12,7.97,high
0.47,6.55,0.67,0.36,middle
0.53,47.42,0.32,0.68,middle
0.45,7.34,1.01,0.01,low
0.98,49.89,0.99,0.18,middle
0.99,0.73,0.18,0.05,low
2.04,8.33,1.21,0.05,low
0.9,41.6,0.46,0.01,low
0.77,5.87,0.37,0.07,low
0.38,18.04,1.05,0.49,middle
0.41,4.47,0.5,0.01,low
0.99,1.23,0.39,0.55,middle
0.86,28.66,1.01,1.41,high
0.49,3.78,1.31,0.55,middle
0.2,55.71,0.82,0.33,middle
0.4,101.54,0.87,8.5,high
1.16,2.8,1.15,0.33,middle
0.35,10.68,0.93,0.13,middle
0.3,3.6,0.98,0.1,low
0.28,32.78,0.81,0.19,middle
0.29,43.1,0.81,0.03,low
0.36,11.26,0.69,0.04,low
1.02,1.16,0,0,low
1.43,2.6,0.84,1.03,high
1.56,1.7,0.95,0.84,middle
1.53,7.76,0.18,0.09,low
0.46,0.48,0,0,low
1.28,5.6,1,3.22,high
0.82,64.98,1.05,12.18,high
