PSU,O2,temp.,SS,DOC,TPOC,Windspeedinsitu,Depth,Years
3.757624,9.46,18.3,52,7.5,8.565,3.5,3.3,0
3.504707,9.89,19.1,50,7.86,8.52,0,3.6,0
3.757624,9.66,18.1,59,8.172,8.4915,1,3.4,0
3.107266,10.36,19.5,46,7.848,8.832,0,2.9,0
2.6194975,11.56,19,42,7.536,9.24,0,3,0
3.2698555,9.66,17.6,59,7.843,7.979,5,3.2,0
2.709825,12.12,19.7,72,8.206,8.7176,1,1.9,0
3.3782485,9.42,17.8,58,7.139,8.7586,4,3.4,0
3.721493,9.63,17.5,62,7.535,8.4706,4,3.2,0
4.407982,9.54,18.4,55,7.282,8.702,3.5,3,0
4.3899165,9.34,17.8,53,7.37,7.8796,4,3.7,0
4.046672,9.32,17.9,50,7.051,8.285,4,3.5,0
3.396314,9.54,17.2,54,7.667,9.397,2,3.1,0
3.360183,9.11,17.3,51,7.92,8.8308,2,3.2,0
4.1369995,9.6,17,61,8.206,9.2792,4,2.7,0
3.8479515,8.98,20.1,66,8.48,7.81,5,3.7,0
4.082803,10.46,20.5,53.75,9.73,8.81,3,3.6,0
3.2337245,9.83,20,42.5,10.29,7.53,7,3.5,0
2.637563,9.37,19.9,56.25,10.58,8.07,4,3,0
2.962742,9.48,19.8,67.5,10.86,9.69,2,2.8,0
3.25179,9.8,20.3,70,10.21,9.33,1,3,0
3.3421175,11.15,20,68.75,10.26,9.74,2,1.8,0
3.4866415,9.74,20.4,52.5,9.82,7.73,4,3.6,0
3.9563445,8.89,20,57.5,10.09,9.33,2.5,2.8,0
3.360183,9.16,20,47.5,10.33,7.62,3,3.2,0
4.263458,8.83,20,75,9.82,7.9,4,3.6,0
3.685362,9.12,20.4,77.5,9.3,8.7,4,3.5,0
4.191196,9.1,20.1,80,9.93,11.26,5,2.9,0
3.4866415,9.09,20.2,91.25,9.63,13.35,5,2.8,0
3.3421175,9.03,19.8,116.25,10.09,12.91,4,2.5,0
3.99,9.31,19.1,71.25,8.89,9.18,3,3.5,0
4.02,11.86,20.7,57.5,8.45,9.4,0,3.5,0
3.68,10.42,20.6,60,8.2,9.14,0.2,3.5,0
4.42,11,20.2,60,8.32,11.15,0.2,3,0
4.1,11.34,19.8,68.75,8.89,10.6,10,2.9,0
3.34,10.7,18.7,84.29,9,11.5,0,2,0
3.61,9.42,18.7,77.14,8.81,11.38,4,2.5,0
4.42,9.05,18.9,77.14,8,9.898,3,3.5,0
4.3,9.31,18.7,72.86,8.08,10.12,2,3.8,0
3.38,11.16,19.9,71.43,8.84,12.8,0,2.8,0
4.32,11.2,20.2,70,9.3,10.46,0.2,3.5,0
3.43,11.14,20.2,74.29,9.14,13.62,1.5,2.5,0
3.54,12.89,20.6,64.29,8.85,14.42,0.2,1.5,0
3.25,11.51,20.1,75.71,9.46,14.48,3,2.7,0
3.92,10.78,19.6,72.86,9.06,14.72,2.5,2.7,0
3.68,11.35,19.5,94.29,8.45,12.44,3,2.8,0
3.4,12.61,20,82.86,8.52,13.87,2.8,2,0
2.31,12.5,20.4,54.29,8.67,10.17,3.5,1.9,0
3.86,12.85,20.4,75.71,9,11.76,1,2.5,0
4.42,9.88,12.5,94,8.13,8.1,4,3.2,0
4.42,10.1,12.6,90,8.31,8.96,3.5,3.4,0
3.63,10.25,12.1,98,9.47,11.95,5,3.3,0
3.99,10.15,12.3,120,10.05,13.95,6,2.7,0
4.42,10.14,12.2,120,9,13.06,6,2.6,0
3.86,9.84,12,138,8.68,17.42,4.5,2.7,0
