Flavanoids,Hue,OD,Proline,Class
3.06,1.04,3.92,1065,Premium
2.76,1.05,3.4,1050,Premium
3.24,1.03,3.17,1185,Premium
3.49,0.86,3.45,1480,Premium
2.69,1.04,2.93,735,Premium
3.39,1.05,2.85,1450,Premium
2.52,1.02,3.58,1290,Premium
2.51,1.06,3.58,1295,Premium
2.98,1.08,2.85,1045,Premium
3.15,1.01,3.55,1045,Premium
3.32,1.25,3.17,1510,Premium
2.43,1.17,2.82,1280,Premium
2.76,1.15,2.9,1320,Premium
3.69,1.25,2.73,1150,Premium
3.64,1.2,3,1547,Premium
2.91,1.28,2.88,1310,Premium
3.14,1.07,2.65,1280,Premium
3.4,1.13,2.57,1130,Premium
3.93,1.23,2.82,1680,Premium
3.03,0.96,3.36,845,Premium
3.17,1.09,3.71,780,Premium
2.41,1.03,3.52,770,Premium
2.88,1.11,4,1035,Premium
2.37,1.09,3.63,1015,Premium
2.61,1.12,3.82,845,Premium
2.68,1.13,3.2,830,Premium
2.94,0.92,3.22,1195,Premium
2.19,1.02,2.77,1285,Premium
2.97,1.25,3.4,915,Premium
2.33,1.04,3.59,1035,Premium
3.25,1.19,2.71,1285,Premium
3.19,1.09,2.88,1515,Premium
2.69,1.23,2.87,990,Premium
2.74,1.25,3,1235,Premium
2.53,1.1,2.87,1095,Premium
2.98,1.04,3.47,920,Premium
2.68,1.09,2.78,880,Premium
2.43,1.12,2.51,1105,Premium
2.64,1.18,2.69,1020,Premium
3.04,0.89,3.53,760,Premium
3.29,0.95,3.38,795,Premium
2.68,0.91,3,1035,Premium
3.56,0.88,3.56,1095,Premium
2.63,0.82,3,680,Premium
3,0.88,3.35,885,Premium
2.65,0.87,3.33,1080,Premium
3.17,1.04,3.44,1065,Premium
3.39,0.91,3.33,985,Premium
2.92,1.07,2.75,1060,Premium
3.54,1.12,3.1,1260,Premium
3.27,1.12,2.91,1150,Premium
2.99,1.24,3.37,1265,Premium
3.74,1.01,3.26,1190,Premium
2.79,1.13,2.93,1375,Premium
2.9,0.92,3.2,1060,Premium
2.78,0.98,3.03,1120,Premium
3,0.94,3.31,970,Premium
3.23,1.07,2.84,1270,Premium
3.67,0.89,2.87,1285,Premium
0.57,1.05,1.82,520,Middle
1.09,1.25,1.67,680,Middle
1.41,0.98,1.59,450,Middle
1.79,1.23,2.46,630,Middle
3.1,1.22,2.87,420,Middle
1.75,1.45,2.23,355,Middle
2.65,1.19,2.3,678,Middle
3.18,1.12,3.18,502,Middle
2,1.12,3.48,510,Middle
1.3,1.02,1.93,750,Middle
1.28,1.28,3.07,718,Middle
1.02,0.91,1.82,870,Middle
2.86,1.36,3.16,410,Middle
1.84,0.98,2.78,472,Middle
2.89,1.31,3.5,985,Middle
2.14,0.99,3.13,886,Middle
1.57,1.23,2.14,428,Middle
2.03,1.19,2.48,392,Middle
1.32,0.96,2.52,500,Middle
1.85,1.06,2.31,750,Middle
2.55,1.19,3.13,463,Middle
2.26,1.38,3.12,278,Middle
2.53,1.16,3.14,714,Middle
1.58,1.31,2.72,630,Middle
1.59,0.84,2.01,515,Middle
2.21,0.79,3.08,520,Middle
1.94,1.23,3.16,450,Middle
1.69,1.33,2.26,495,Middle
1.61,1.36,3.21,562,Middle
1.69,1,2.75,680,Middle
1.59,1.07,3.21,625,Middle
1.5,1.08,2.27,480,Middle
1.25,1.05,2.65,450,Middle
1.46,0.96,2.06,495,Middle
2.25,1.15,3.3,290,Middle
2.26,1.16,2.96,345,Middle
