PSU,O2,temp.,SS,SRP,DOP,PP,NH4N,NO3N,DON,PN,TN/TP,Fe,SiO4Si,DOC,TPOC,Windspeedinsitu,Depth,Cyanobacteria,Chlorophyceae,Euglenophyceae,Diatomophyceae,Flagellata,picophytoplankton,Diaphanosoma brachyurum,Acartia longiremis,Acartia tonsa,Eurytemora affinis,Cyclops sp.,Nauplii Cyclopoida,Nauplii Calanoida,Filinia longiseta,Keratella cochlearis cochlearis,Keratella cochlearis f.tecta,Keratella quadrata,Basin
3.757624,9.46,18.3,52,3.5,11.7,185,0.039,0.022,0.551,0.759,6.848151848,0.0121,2.3112,7.5,8.565,3.5,3.3,2.35,3.08,0.92,0.23,0,3.2,0,2.071,0.9298,0.9251,0,0.0025,0.0257,1.3152,0.892,0.2714,0,Eastern
3.504707,9.89,19.1,50,4.4,17.5,111.3,0.02,0.025,0.123,1.181,10.12762763,0.0136,2.1157,7.86,8.52,0,3.6,6.39,2.87,0.49,0.01,0,2.42,0,0.5014,0.0378,0,0,0,0,0.0769,0.064,0.0464,0,Eastern
3.721493,9.63,17.5,62,11.7,13,117.6,0.036,0.021,0.727,0.134,6.451159522,0.039,2.1817,7.535,8.4706,4,3.2,2.05,7.47,0,0.06,0.17,2.61,0,0.0931,0,0,0.0093,0.0138,0.0006,0.0466,0.012,0.0044,0,Eastern
4.407982,9.54,18.4,55,7.4,16.2,124.7,0.023,0.024,0.566,0.895,10.16857721,0.0179,2.0537,7.282,8.702,3.5,3,6.3,5.03,0,0.11,0.1,2.49,0,0,0,0.0129,0.006,0.014,0.0155,0.0313,0.0079,0.004,0,Eastern
4.3899165,9.34,17.8,53,13.8,21.4,84.4,0.031,0.03,0.022,1.069,9.632107023,0.0201,2.0666,7.37,7.8796,4,3.7,3.77,5.69,0,0.005,0.04,1.73,0,0,0,0.0141,0,0.0093,0.0007,0.0491,0.0143,0.0019,0.0026,Eastern
4.046672,9.32,17.9,50,8.7,16,126.3,0.06,0.007,0.596,0.596,8.337748344,0.0361,2.081,7.051,8.285,4,3.5,1.87,2.64,0,0.05,0.02,1.5,0,0.0129,0,0.0145,0,0.0079,0.0009,0.0654,0.0093,0.0024,0,Eastern
3.396314,9.54,17.2,54,10.5,11.5,107.4,0.019,0.029,0.679,0.724,11.21329212,0.0216,2.1939,7.667,9.397,2,3.1,2.26,8.52,0,0.08,0.1,3.2,0,0.0101,0,0.0126,0,0.0178,0.0031,0.0002,0.0168,0.0027,0,Eastern
3.360183,9.11,17.3,51,1,75.9,55.4,0.022,0.024,0.557,0.939,11.74409749,0.0201,2.1157,7.92,8.8308,2,3.2,4,10.17,0,0.69,0.21,4.5,0,0,0,0.0062,0,0.0065,0.0092,0.0603,0.0103,0.0022,0,Eastern
4.1369995,9.6,17,61,7,13.4,128.7,0.07,0.034,0.569,0.915,10.65057009,0.0368,2.2199,8.206,9.2792,4,2.7,2.93,6.38,0,0.1,0.09,3.48,0,0.0385,0,0,0,0.0186,0.002,0.0185,0.0111,0.0018,0,Eastern
3.8479515,8.98,20.1,66,14.7,4.2,160.3,0.045,0.029,0.674,0.609,7.572544643,0.018,2.515,8.48,7.81,5,3.7,8.25,2.03,0,0.41,0.06,1.66,0,0.6266,0.8396,0.9683,0,0.0194,0.1187,0.0069,0.073,0.009,0,Eastern
