PSU,O2,temp.,SS,SRP,DOP,PP,NH4N,NO3N,DON,PN,TN/TP,Fe,SiO4Si,ChlorophyceaeBiomassC,DiatomsBiomassC,PicoplanktonBiomassC,Windspeedinsitu,Depth,DIN to DIP,CyanobacteriaBiomassC
3.758,9.46,18.3,52,3.5,11.7,185,0.039,0.022,0.551,0.759,6.848,0.012,2.311,0.508,0.018,0.691,3.5,3.3,17.429,0.429
3.505,9.89,19.1,50,4.4,17.5,111.3,0.02,0.025,0.123,1.181,10.128,0.014,2.116,0.473,0.001,0.522,0,3.6,10.227,1.085
3.758,9.66,18.1,59,3.2,22.8,103.4,0.016,0.008,0.582,0.576,9.134,0.037,2.264,0.271,0.021,0.538,1,3.4,7.5,1.734
3.107,10.36,19.5,46,4.3,22.3,92.7,0.026,0.021,0.693,0.689,11.978,0.017,2.262,0.458,0.122,0.655,0,2.9,10.93,0.814
2.619,11.56,19,42,11.7,30.3,73.2,0.022,0.048,0.383,1.006,12.665,0.024,2.216,0.328,0.085,0.182,0,3,5.983,1.133
3.27,9.66,17.6,59,7.3,14.9,45,0.032,0.017,0.718,0.586,20.134,0.037,2.18,0.414,0.02,0.557,5,3.2,6.712,0.529
2.71,12.12,19.7,72,7.8,13.6,111.2,0.015,0.024,0.309,1.374,12.986,0.019,2.192,0.998,0.032,0.473,1,1.9,5,1.151
3.378,9.42,17.8,58,16.2,37.7,60.3,0.028,0.023,0.42,0.713,10.368,0.017,2.19,0.781,0.021,0.874,4,3.4,3.148,0.553
3.721,9.63,17.5,62,11.7,13,117.6,0.036,0.021,0.727,0.134,6.451,0.039,2.182,1.175,0.008,0.564,4,3.2,4.872,0.328
4.408,9.54,18.4,55,7.4,16.2,124.7,0.023,0.024,0.566,0.895,10.169,0.018,2.054,0.787,0.008,0.536,3.5,3,6.351,1.051
4.39,9.34,17.8,53,13.8,21.4,84.4,0.031,0.03,0.022,1.069,9.632,0.02,2.067,0.895,0.001,0.375,4,3.7,4.42,0.6
4.047,9.32,17.9,50,8.7,16,126.3,0.06,0.007,0.596,0.596,8.338,0.036,2.081,0.406,0.005,0.323,4,3.5,7.701,0.303
3.396,9.54,17.2,54,10.5,11.5,107.4,0.019,0.029,0.679,0.724,11.213,0.022,2.194,1.333,0.007,0.69,2,3.1,4.571,0.357
